Input file size: 27196 bytes
Format verson: 0
Number of descriptors: 1272

42C2C 4*
2A2A-7C4 10 
2A2-7C4A 10 
2C4A-12A2 10 
2C4-12A2A 10 
2C4A-29A2 10 
2C4A-30A2 10 
2C4-30A2A 10 
2C4A-5A2 10 
2C4-5A2A 10 
39A2-41C4C 10*
39A2A-41C4 10 
39C2C-41A4 8*
39C2-41A4A 8 
3A4A-20A2-42A2 8 
3A4-20A2A-42A2 8 
3A2A-28A2-40A4 8 
3A2-28A2A-40A4 8 
3A2A-28A2-41A4 8 
3A2-28A2A-41A4 8 
3A4A-3A2-20A2 8 
3A4-3A2-20A2A 8 
3A4A-3A2-7A2 8 
3A4-3A2-7A2A 8 
3A2A-3A2-7A4 8 
3A2-3A2-7A4A 8 
3A4A-3A2-8A2 8 
3A4-3A2-8A2A 8 
3A4A-40A2-40A2 8 
3A2A-40A4-40A2 8 
3A2A-40C4 10 
3A2A-41C4 10 
3A4A-42A2-42A2 8 
3A4A-5A2-40A2 8 
3A4-5A2A-40A2 8 
3A2A-5A2-40A4 8 
3A2-5A2A-40A4 8 
3A4A-5A2-7A2 8 
3A4-5A2A-7A2 8 
3A4-5A2-7A2A 8 
3A2A-5A2-7A4 8 
3A2-5A2A-7A4 8 
3A2-5A2-7A4A 8 
3A4A-7A2-42A2 8 
3A4-7A2A-42A2 8 
3A2A-7A4-42A2 8 
3A2-7A4A-42A2 8 
3A4A-7A2-7A2 8 
3A4-7A2A-7A2 8 
3A2A-7A4-7A2 8 
3A2-7A4A-7A2 8 
3A4A-7A2-8A2 8 
3A4-7A2A-8A2 8 
3A4-7A2-8A2A 8 
3A2A-7A4-8A2 8 
3A2-7A4A-8A2 8 
3A2-7A4-8A2A 8 
3A4A-7B2 6 
3A4-7B2A 6 
3A2A-7B4 6 
3A2-7B4A 6 
3A4-7C2C 8*
3A4A-7C2 8 
3A2-7C4C 10*
3A2A-7C4 10 
3A4A-8A2-38A2 8 
3A4-8A2A-38A2 8 
3A2A-8A2-38A4 8 
3A2-8A2A-38A4 8 
3A4A-8A2-40A2 8 
3A4-8A2A-40A2 8 
3A2A-8A2-40A4 8 
3A2-8A2A-40A4 8 
3C4A-20A2 10 
3C4-20A2A 10 
3C4A-28A2 10 
3C4-28A2A 10 
3C4A-40A2 10 
3C2A-40A4 8 
3C4A-41A2 10 
3C2A-41A4 8 
3C4A-5A2 10 
3C4-5A2A 10 
3C4C-7A2 10*
3C4-7A2A 10 
3C2C-7A4 8*
3C2-7A4A 8 
3C4C-8A2 10*
3C4-8A2A 10 
40A4A-40C2 8 
40A2A-40C4 10 
40A4A-42C2 8 
40A4-42C2A 8 
41A2A-41C4 10 
41A4A-42C2 8 
41A4-42C2A 8 
41C4C-42A2 10*
41C4-42A2A 10 
48A2-66A4A-66A2 8 
48A2-66B4A 6 
4A4A-4A2-12A2 8 
4A4-4A2-12A2A 8 
4A4A-4A2-13A2 8 
4A4-4A2-13A2A 8 
4A4A-4A2-29A2 8 
4A4A-4A2-5A2 8 
4A4-4A2-5A2A 8 
4A4A-4A2-7A2 8 
4A4-4A2-7A2A 8 
4A2A-4A2-7A4 8 
4A2-4A2-7A4A 8 
4A4A-7A2-12A2 8 
4A4-7A2A-12A2 8 
4A4-7A2-12A2A 8 
4A2A-7A4-12A2 8 
4A2-7A4A-12A2 8 
4A2-7A4-12A2A 8 
4A4A-7A2-7A2 8 
4A4-7A2A-7A2 8 
4A2A-7A4-7A2 8 
4A2-7A4A-7A2 8 
4A2A-7C4 10 
4A2-7C4A 10 
5A2A-40C4 10 
5A2A-66B4 6 
5A2-66B4A 6 
5A2A-66C4 10 
5A2-66C4A 10 
5A2A-7A4-7A2 8 
5A2-7A4A-7A2 8 
5A2A-7C4 10 
5A2-7C4A 10 
66A2A-66B4 6 
66A2A-66C4 10 
7A4A-20A2-32A2 8 
7A4-20A2A-32A2 8 
7A4A-20A2-42A2 8 
7A4-20A2A-42A2 8 
7A4A-7A2-8A2 8 
7A4-7A2-8A2A 8 
7B4A-28A2 6 
7B4-28A2A 6 
7C4A-20A2 10 
7C4-20A2A 10 
7C4C-28A2 10*
7C4-28A2A 10 
8A2A-40C4 10 
8A2A-41C4 10 
13A2A-46C2-66A4 10 
